file: GoPro_G52_无辅助_抽象.m4a
***********************************result**************************************

[0:0.000,0:0.900,0]  是。
[11:33.930,11:39.340,2]  啊，也是啊，2025现在都过去七个月了，对啊。
[11:39.740,11:45.245,1]  有可能他是总结2024年的哦，他是三月份。
[11:45.245,11:47.240,2]  写的热词。
[11:47.240,11:50.350,1]  口中考不知道多少年结，我是口中的那个。
[11:50.350,11:53.070,2]  老梗。
[11:53.070,11:56.680,1]  但是他是那个人，就在深圳直播。
[11:56.860,11:58.360,1]  就那个地铁口。
[12:1.360,12:3.415,1]  第课这一要走2025。
[12:3.415,12:5.220,2]  节，嗯。
[12:6.080,12:11.620,2]  发给。
[12:14.320,12:17.785,1]  所以去抖音上搜。在我跳的。
[12:17.785,12:19.820,0]  视频。
[12:34.640,12:38.315,2]  同学用的时候，一个跟着相子对我。
[12:38.315,12:39.140,1]  上次。
[12:39.140,12:45.140,2]  书到用时方会少，平时还是看着。
[12:52.480,12:55.620,2]  不是你今天打的那个666啊。
[12:56.400,12:59.070,2]  六六六百六十六。
[12:59.070,13:0.900,1]  百六只有一点，都毕业了。
[13:0.900,13:1.830,2]  我。
[13:1.830,13:5.580,1]  平时6打了66，但是我自己660。
[13:8.720,13:12.080,2]  要不然现在下一个你找几个就行了，我觉得。
[13:13.120,13:16.080,2]  抽象是一种对现实的安慰。
[13:16.320,13:18.880,2]  是不是莉说的？
[13:18.920,13:24.520,2]  嗯，那篇文章对对，看那篇文章上也是。
[13:26.080,13:31.780,2]  我说好，他不见了，我刚才打开了一个。
[13:36.580,13:40.620,2]  快呵，快出发了，嗯，那也可以黑的。
[13:48.240,13:49.500,2]  刚才。
[13:51.240,13:56.320,2]  有些我都没听过，因为你被抄了，简直荒谬至极。
[13:57.000,13:58.425,1]  回家吧，孩子。
[13:58.425,14:2.640,2]  啊，这个有，这个有回家吧，孩子就有，有就是。
[14:3.180,14:4.740,2]  沉重啊。
[14:4.740,14:13.680,1]  他不是之前，之前怎么呢？就是就是说感觉别人可以走了，没用，太没用了，然后感觉回家了就。
[14:13.680,14:16.755,2]  回家了。哦，有这个语境，我就。
[14:16.755,14:17.700,1]  懂了。
[14:17.960,14:20.860,2]  你们都划走了基本吗？
[14:24.540,14:26.920,2]  好，这个可以当我们的论据。
[14:37.700,14:54.280,2]  差不多了，我看这时候搞抽象，嗯，其实是不是就是在说废话，然后再说废话也可以，也算是，嗯，这说是什么润是重构了，我看一下他怎么说。
[14:54.660,15:4.640,2]  因为我觉得这当是个挺好的辩题，就是港教训的内容会玩。
[15:8.280,15:11.520,2]  挺好挺好的。
[15:14.160,15:23.880,2]  他是什么观点，他觉得是一种认知重构吗？认知他只是说他叫他这个标题上显示。
[15:23.880,15:28.380,2]  废话拯救世界，认知重构实操。
[15:29.380,15:32.380,2]  我。
[15:32.380,15:34.290,1]  认同。这说他。
[15:34.290,15:38.600,2]  后面解的释是解释几个例子，比如说。
[15:39.400,15:52.300,2]  ABC理论变形及被领导批评时，把我完成的改成解锁新成就、获得boss直聘及职场指导就类似于这样的。
[15:56.360,15:59.720,2]  应该主要也是解压。
[16:3.580,16:5.120,2]  什么抽象？
[16:7.500,16:15.960,2]  我好像不能复制你们的东西，复制不了一下，可能的快捷键不太一样。
[16:16.040,16:19.625,2]  我用的就是正确的快捷。
[16:19.625,16:20.420,1]  进就打。
[16:20.420,16:32.360,2]  一遍讲一下，我是来练打字打的很快，或者你们把我写的复制，我再复制过去，复制到下面去，复制到你们那里就好。
[16:33.960,16:36.640,2]  但是我编辑不了你的脸。
[16:36.640,16:39.205,2]  只能编辑不了，但你就编辑不了你们。
[16:39.205,16:41.160,1]  可以复制他的到你们的框，反正。
[16:41.160,16:45.210,2]  都是1的就OK了，对，他最后只开一个档案。
[16:47.540,16:49.980,0]  有。
[16:50.000,16:51.330,2]  可以，你可以复试。
[16:51.330,16:53.680,1]  你可以复试，我复试。
[16:53.680,16:58.280,2]  那你复试我哦，但是你是第几课来着。
[16:59.380,17:1.840,2]  我应该是二第二条，然后就是。
[17:1.840,17:4.170,1]  那个go gogo是不是那个。
[17:4.170,17:5.880,2]  数啊。
[17:6.900,17:11.900,2]  很多条的那个看到。
[17:12.240,17:18.280,2]  复制不复制的全复制到那个花为可以给嗯。
[17:19.680,17:21.380,2]  好在开始整合。
[17:21.380,17:23.520,1]  一块儿二等一一。
[17:23.520,17:26.180,2]  不见，嗯，这4。
[17:29.240,17:34.300,2]  我不。
[17:34.460,17:40.960,2]  那三位赋予了网友特殊的使命。天上。
[17:48.280,17:52.185,1]  好气。假如说你大出。
[17:52.185,17:55.860,2]  发出一显。
[17:59.860,18:2.460,2]  然后可以设计产品。
[18:5.540,18:9.660,2]  他如何理解两种情绪状态？
[18:9.840,18:13.305,2]  我放在你这个车上那里还看不到车上那个。
[18:13.305,18:14.295,1]  包用，哎，为什么。
[18:14.295,18:19.260,2]  我看不到这个你看不到，你可你刷新了，你去你去那个PDF里面改吧。
[18:19.580,18:21.640,0]  刷新。
[18:21.640,18:26.210,2]  刷新就没了，P没有，现在有了不是。
[18:26.210,18:28.260,1]  这个。
[18:28.600,18:30.580,1]  带我看过电影。
[18:30.960,18:33.460,2]  好像看不到诶。
[18:36.920,18:38.975,2]  我现在看到的就是这个心历。我。
[18:38.975,18:40.740,1]  的客房是顶上的东西。
[18:40.740,18:43.700,2]  你看在PDF上面也可以看到。
[18:43.800,18:50.520,1]  然后我复制出来。
[18:53.140,18:54.340,2]  好。
[18:54.340,18:56.800,2]  那我就把他的那个议题。
[18:56.800,18:59.980,0]  复制出来。
[19:0.520,19:4.150,2]  他说要分析这个背后的心理动机。我们已经分析。
[19:4.150,19:5.020,0]  完了。
[19:5.020,19:10.700,2]  最后，设计一个智能工具来支持高抽象。
[19:10.700,19:12.460,0]  文化。
[19:12.840,19:19.920,2]  讨论他如何理解用户的情绪状态，创造有趣的抽象内容。
[19:22.000,19:23.500,2]  起名字。
[19:23.500,19:26.180,1]  是APP还是小程序？
[19:27.060,19:29.835,2]  我推荐小推荐小程序。
[19:29.835,19:31.575,1]  那个谁先写个小程序。
[19:31.575,19:33.800,2]  看一下小程序。
[19:35.560,20:0.060,2]  好像APP如果是新的APP，让大家接受起来还是要有一定的时间，小程序的话，相对来说我们是有更像的，就对搜组和他是，可是小程序有一个最大的bug，就是比如说你在小程序运转的时候，然后人家来了信息，然后退回去，可以可以选择那个服窗哦，它就可以放旁边有一些服窗，我点进去之后，然后我就可以输入了。
[20:0.060,20:6.060,1]  对会，那就就是没设定就肯定。
[20:6.060,20:6.890,2]  从。
[20:6.890,20:10.060,1]  出去再点进去。
[20:12.120,20:15.645,2]  阅会的就是点进去好友，但。
[20:15.645,20:18.585,1]  其实现在搜活不就是可以给我搜活都可以跟。
[20:18.585,20:23.560,2]  别人聊天，他可以帮我们，你可以创造抽象的内容。
[20:23.560,20:30.705,1]  而且他不说什么理解用户情绪状态嘛，豆博有时候你跟他说你怎么怎么样，会安慰你什么东西。
[20:30.705,20:36.620,2]  你用有你有没用过，那你不是没有那个社交媒体的功能。
[20:37.140,20:38.670,1]  就是就是那么。
[20:38.670,20:40.640,2]  他发帖。
[20:40.640,20:45.260,1]  他帖子他好像发不了，但是他可以帮你寻找帖子。
[20:45.260,20:54.725,1]  就是你跟他说你个关键词，然后呢说从哪个应用应用上找，然后呢，他可能会给你个链接，然后你就点那个链接，他就直接跳到那个帖子的。
[20:54.725,20:58.540,2]  简议去了啊，这个还不错的那些。
[20:58.540,21:1.915,1]  我我觉得就是像我们。
[21:1.915,21:6.040,2]  就是在他上搜了一篇文章，他告诉我那个标题是一个名字，然后。
[21:7.040,21:9.040,2]  标题就是另外一个名字。
[21:9.040,21:12.895,1]  过言这种这种完全是创造链接就。
[21:12.895,21:28.380,2]  觉得啊，全是创造过的，我之前用kimi就是搜文献什，然后他就经常搞促销啊，他们要创造一些什没有见过的东西，然后看起来很像溯源之后他还是假的。
[21:28.600,21:48.560,2]  对，那我觉得搞出项目的话，一方面就像豆包一样，它可以宣传内容，然后另外一方面，我觉得所谓的就是还要考虑它的传播度，它可以结合一些比如抖音啊等等这种功能，就变成一个类似于社交媒体加。
[21:48.760,21:50.530,2]  输出的内容。你可。
[21:50.530,21:56.260,1]  以跟他聊天那种，然后你才能感受你的感受，然后给点积极的反馈那种感觉，嗯。
[22:3.060,22:6.560,2]  聊天，然后识别情绪。
[22:6.560,22:11.560,1]  直实不用直接直接光设想直接把豆宝也都停死了。
[22:11.560,22:15.800,2]  力豆包识别输出。
[22:16.560,22:19.560,1]  其实逗猫就是抖音的一个。
[22:22.620,22:24.000,2]  就这。
[22:25.040,22:27.540,1]  豆瓣和抖音是绑在一起的。所以。
[22:27.540,22:32.160,2]  是吗？他们是一个公司嘛，像抖音登录是的。
[22:32.940,22:36.420,1]  他登录也可以用全的抖音登录，然后这。
[22:36.420,22:43.305,2]  确实是可以登，那就是他就是创作完的那些东西，你都可以发到自己的，直接发到自己的那种仓库。
[22:43.305,22:47.440,1]  里面始发好像我不知道，我没有去过这种啊。
[22:47.440,22:48.510,2]  发视频怎？
[22:48.510,22:53.385,1]  到什么，但是他应该是可以从抖音面，就是你跟他说一后，他应该在他抖音上。
[22:53.385,22:54.590,2]  也搜索是啊。
[22:54.590,22:58.440,1]  或者给你发抖音的链接，然后你点进去可能就是一个视频了啊。
[23:3.480,23:5.320,2]  还需要什么功能？
[23:7.280,23:12.340,1]  传递情感那种要给他情感嘛。
[23:13.220,23:20.480,2]  我觉得给他灌大量的那种抽象的，抽像这种抽象的内容。
[23:21.940,23:26.260,1]  2他好抽相啊。
[23:26.260,23:27.260,2]  感觉他。
[23:27.260,23:29.530,1]  聊天很象他应该学习知识。
[23:29.530,23:32.180,2]  酷嗯。
[23:37.400,23:43.440,2]  那如果是我用这个东西的话，可能就希望他能够。
[23:43.440,23:44.840,0]  嗯。
[23:45.080,23:59.080,2]  先跟他聊天嘛，跟他玩儿，然后如果有一些比如比较好玩的东西，没什么可以大家也可以参与进来，就是特别是类似于类直播的那种可以开放的，可以连线的。
[24:0.700,24:6.200,2]  所有人都可以参与。见，和这个聊天对。
[24:6.200,24:12.200,1]  像有人不就训豆包吗？就是把豆包变成自己女主游一聊天有所我。
[24:12.200,24:19.200,2]  赞场，我感觉赞妆。
[24:19.200,24:28.380,1]  虽欢豆宝就你开聊，不是比较生硬的那种回答你嘛，可能后面就是像真正的好朋友聊天那种那种感觉，就是我感觉像有情感的那种。
[24:28.380,24:29.865,1]  你们会？
[24:29.865,24:31.300,2]  经常用吗？
[24:31.300,24:37.015,2]  还口还好，其实比较上床是让他查一下东西还是。
[24:37.015,24:56.850,1]  或者闲着无聊跟他聊一聊天，我用语音打打电话，说说能也可以开是摄像头，嗯嗯，就是比如说你比如比如说你不认识这个花草，然后你给他开，就是说这是什么东西，他可能会啊，这是什么主意呀，或者是或者给了他一个不认识的人物，他也会给你去搜，但是搜的很都不错。
[24:56.850,24:59.580,2]  就能出现了，对。
[25:2.640,25:4.660,2]  聊天。
[25:9.760,25:11.425,2]  好像把这几个功能。
[25:11.425,25:12.355,1]  基本都输出。
[25:12.355,25:13.260,2]  了。
[25:14.040,25:18.260,2]  加个广告吧，会这点钱。
[25:20.500,25:27.900,1]  可以随机跳一些广告，然后可能可能这样子这样子什么，等个几秒钟。
[25:27.900,25:29.540,1]  你这营销炒饭。
[25:29.540,25:30.400,2]  是不？
[25:32.860,25:34.480,2]  你抽象。
[25:35.460,25:41.620,2]  哎，其实你们在CBA这边实习，他们跟这一块应该还是蛮。
[25:42.260,25:58.800,2]  项目项目的他们做计算有艺术嘛，那他们我知道他们有一些比如说研究，对，但是我们没他没有让我们做到这些东西，都是做一些基础一点的，嗯。
[25:58.880,26:3.360,2]  你们实习多长时间，两两个月？
[26:9.220,26:12.020,2]  你是不是可以尝试？
[26:12.920,26:17.479,2]  做点这些，就是跟你们实习的这个氛很像。

************************************end****************************************
