file: 海康_G91_有辅助_搭子.m4a
***********************************result**************************************

[0:0.920,0:2.310,0]  那我们可以开始。
[18:30.110,18:31.975,2]  首先肯定得是用户。
[18:31.975,18:32.700,2]  有一段话。
[18:37.200,18:38.200,4]  什么之家。
[18:38.310,18:42.550,2]  就是每个方向的搭子都都还有一在嗯，自己的做法。
[18:48.330,18:51.580,2]  然后另一方面可能还是要引入一些反馈机制。
[18:52.070,19:4.585,4]  对反馈机制，然后我觉得像评价其实可能也很重要，比如说你做一个淘宝店的什么题，就是那种一条链接，你可以看看到过去其他买家跟他的评论，然后自己再结合。
[19:4.585,19:9.150,3]  就是肯定是如果你你描述跟你开始说的时候，大家。
[19:9.740,19:10.140,5]  对。
[19:10.700,19:12.480,2]  这个倒是挺需要时间的。
[19:12.950,19:15.700,4]  是不是如果大家是周末出去玩的话。
[19:15.700,19:18.420,2]  然后几个月才能刷出去足够有3毛钱的屏幕。
[19:18.650,19:19.380,4]  是是。
[19:19.650,19:20.050,3]  嗯。
[19:20.430,19:22.450,4]  那可能有会比没有的好。
[19:22.680,19:23.080,5]  嗯。
[19:24.480,19:25.420,4]  那如果一个人。
[19:26.350,19:32.480,4]  他的被人的评论评价的次数大概有好几万，那这这个人他可能就已经很不真实。
[19:45.000,19:48.620,2]  然后是不是点进去这的主页，能看到他都在寻找哪些方向。
[19:49.620,19:53.500,2]  可以这样，其实也能一定程度帮我了解这个人。
[20:9.340,20:10.590,2]  可见所有价值。
[20:11.870,20:12.780,2]  房子需求。
[20:29.710,20:36.140,2]  然后涉及到一个就是是否允许大家在平台上私下加其他联系方式。
[20:36.490,20:47.210,4]  哦对，这个这个其实涉及到其实最大的问题就是一个引流的一个问题，这样子的话，平台就被一个私域群，然后他也无法监管。
[20:49.380,20:49.930,2]  但是。
[20:50.520,20:55.130,2]  然后是这个其实确实交流到微信这方面，包括疫情什么。
[20:55.550,21:0.600,2]  确实你要是在平台没钱的话，一方面开发成本高，一方面大家也觉得麻烦。
[21:0.920,21:1.320,5]  嗯。
[21:19.610,21:23.130,4]  你说会不会出现刷单的情况，如果你用那种评论。
[21:23.630,21:25.560,3]  哦尔不是不是啊。
[21:25.580,21:29.850,4]  如果他的他的评论全都是正向的，其实这就很不正常。
[21:29.930,21:30.330,6]  嗯。
[21:30.440,21:35.790,2]  对，就完全可以演人护上，对对对对，就两人都在家喊一天，然后给人写条好评。
[21:36.020,21:37.020,4]  对对。
[21:38.850,21:41.945,2]  如何机制，就是如何确认他们真的出去玩了。
[21:41.945,21:42.760,2]  也是一个。
[21:45.000,21:48.460,4]  如果发现了相关的相关的现象怎么表现？
[21:52.670,21:58.830,3]  啊，这个好像也很难听吧，就现在那个大众点评什么的，他们都是这么搞的，对吧，对。
[22:10.010,22:12.030,4]  我们好像要开始写这个建议表。
[22:15.490,22:20.720,2]  首先有可以有一个建议，就是说实名制，然后每个方向可以自我描述。
[22:21.570,22:21.970,5]  嗯。
[22:22.110,22:22.600,4]  可以。
[22:22.920,22:23.320,6]  嗯。
[22:24.900,22:28.390,4]  我们每个人都要喜欢还是大家总体总体影响。
[22:30.540,22:31.210,2]  游戏。
[22:33.170,22:38.580,2]  或者就是把我还可以加一个那个什么，就是因为咱们还有一个精准匹配的需求。
[22:39.450,22:42.280,2]  就是可以每个人都给自己加一些标签。
[22:42.930,22:51.190,2]  然后就根据标题相似度，比如说我同样搜飞盘，就是首先推到我面前，和我标签相似度高的可能，然后其次才是相对低一点。
[22:53.570,22:54.660,2]  没有这个关系。
[23:0.980,23:3.720,2]  T1可实现T的推送。
[23:9.760,23:11.120,2]  个人性格标签。
[23:14.990,23:18.300,2]  就是引入个人性格标签和当前IP。
[24:30.770,24:31.680,2]  性格标签。
[24:32.180,24:41.170,2]  哦对，就是个人性格，当前IP和那个就是他其他方向的需求都可以作为那个匹配度的参考，嗯，因为。
[25:25.110,25:27.070,2]  或者是机制里面。
[25:28.040,25:32.640,2]  如果是加一个，比如说必须要配3加流3照片，或者配一段视频。
[25:33.200,25:33.870,3]  短视频。
[25:34.040,25:35.670,2]  比如说拍个十几秒的视频。
[25:37.570,25:41.030,2]  相对来说就是至少他们得过来演一下才能刷的。
[25:41.050,25:42.740,4]  那就有70人怎么办？
[25:43.350,25:44.830,4]  如果说是很内向的。
[25:47.320,25:51.530,4]  这样子的话，他们就永远匹配不到了，这个平台就成为一些很华向。
[25:51.850,25:52.250,6]  嗯。
[25:53.110,25:56.720,4]  因为这个平台可能就是给内向的搭建平台。
[25:57.520,25:57.920,6]  嗯。
[25:58.600,26:1.820,2]  但是大人是不是一般也不太喜欢找大的。
[26:1.990,26:5.420,4]  就是他他可能有这个需求，所以他才想去找大。
[26:6.180,26:8.650,4]  然后结果这个地方又变成了一个人的地方。
[26:16.130,26:20.790,2]  不过就是如果单纯从盈利角度上讲，他是主要靠户群体的量是1。
[26:21.360,26:22.270,3]  是是是。
[26:23.940,26:26.260,3]  这那你不是隐币。
[26:26.760,26:30.160,4]  你开会员投好啊。
[28:2.030,28:3.000,3]  是差不多。
[28:4.100,28:5.470,2]  应该是差不多的。
[28:9.020,28:11.850,2]  那就是固定机率还没完全处理好。
[28:12.460,28:20.330,4]  对不平机制，我刚才想到的就是有刷单的问题，对在如果在一些电商平台上面刷单的话，他会被扣押金限制。
[28:20.920,28:23.330,2]  但是他是怎么判断是否刷单。
[28:25.480,28:27.560,4]  短期内多次出现。
[28:28.820,28:36.660,2]  啊，完全可以，就是有那种就是私下，比如小红书建个刷单群，大家互相把号发一下，这就是每周都在和不同的人。
[28:41.880,28:46.490,2]  感觉也不好说，我感觉就是出去玩的时候拍照片，可能相对来说是。
[28:48.150,28:53.680,4]  会好一些，对，但是目像你刚才说的问题，我觉得像小红书刚刚该解决的问题。
[28:56.440,29:3.380,3]  啊，其实拍照也不一定拍坐机，就是你玩什么，你这边拍个拍你玩能的也可以。
[29:3.890,29:5.970,2]  但这样他又可以搜宝吧？
[29:6.820,29:8.610,2]  又有又侧这么一条差。
[29:11.850,29:13.510,4]  就是他说出现了很多。
[29:14.760,29:16.270,4]  像拍照大子子。
[29:19.520,29:22.770,2]  哦，对了，其实现在大部分大家都是在小红书上没找到。
[29:23.000,29:23.400,6]  嗯。
[29:31.870,29:34.220,3]  我觉得这是也不得以跟讲师一样，就是。
[29:35.010,29:40.900,3]  自己发帖子，然后让别人刷到，这样的话，就是别人也不一定非得去搜索才能搜到。
[29:42.150,29:45.130,3]  可能就是把首页推荐进去。
[29:46.430,29:48.630,2]  对储备推荐加加生搜索。
[29:55.520,29:57.730,2]  不过确实完美的本身也很难。
[29:58.980,30:5.890,2]  除非就是找个AI全程跟着他们，然后用AI最后被双人做做评价，但这种就太那什么。

************************************end****************************************
