file: 海康_G22_有辅助_抽象.m4a
***********************************result**************************************

[0:0.730,0:1.130,0]  好。
[22:10.900,22:11.660,0]  就会说。
[22:12.490,22:13.850,0]  解释给这个。
[22:14.900,22:17.290,0]  不太了解这个软件那个解释。
[22:18.630,22:19.030,1]  嗯。
[22:24.720,22:25.510,0]  那我觉得。
[22:27.990,22:32.110,0]  我看到我抽象大家都能理解到这个点。
[22:32.620,22:33.180,0]  不想。
[22:35.010,22:37.060,0]  有那种门槛啊之类的。
[22:37.500,22:38.090,0]  骆驼。
[22:39.510,22:43.510,1]  啊，但是狗会不会是抽象就是抽象的。
[22:44.170,22:45.920,1]  一部分或者是交集。
[22:46.680,22:48.280,0]  就像那个YYDS。
[22:49.020,22:53.710,1]  就是就是感觉蛮出现，我还是没有。
[22:55.020,22:55.570,1]  就是。
[22:56.700,22:58.090,0]  你是说他进入地图。
[23:0.040,23:3.570,1]  嗯，我第一次是因为在什么那个啊对。
[23:4.360,23:8.700,0]  就如果说呃，不经常浪的人，就第一次看到这个。
[23:9.310,23:11.540,0]  东西，然后以个1，这是啥了？
[23:12.420,23:17.050,1]  但是我出现的理解成了永远单身游泳之前是这样念的。
[23:26.580,23:27.670,0]  就会有这种。
[23:28.760,23:29.160,0]  呃。
[23:30.930,23:34.985,0]  错误的理解吧，可能有些认识的人对这个不是错误。
[23:34.985,23:45.785,1]  这就是搞抽象呀，前我怀疑我们就是之前我和我朋友，然后我们4个人就是叫做YYD也是组合，然后因为4个人都是单身。
[23:45.785,23:47.740,0]  都是球场特长组。
[23:49.860,23:55.120,1]  我们之前见过枪击，少女说那个偶然是这个枪。
[24:1.170,24:1.580,0]  都会。
[24:1.580,24:2.470,0]  有些人就是。
[24:3.280,24:3.770,0]  然后。
[24:6.710,24:11.100,0]  理解不了，Get到get得到不到的那个，他是在搞抽象这个点。
[24:11.660,24:14.680,0]  然后就特别认真的给他说一句什么。
[24:15.250,24:16.290,0]  这样说是不对的。
[24:16.290,24:16.880,0]  这样的。
[24:17.610,24:23.230,0]  所以说他有些搞对象的会他们个面头。
[24:24.200,24:24.600,1]  哦。
[24:25.040,24:25.590,0]  是不是。
[24:25.760,24:26.160,1]  嗯。
[24:26.540,24:28.080,0]  那我们这个产品就是。
[24:29.100,24:37.930,0]  加一个标志就就明确看出来，嗯，练一个字体啊，什么是就说我就表明我是在搞出这样。
[24:39.770,24:40.860,1]  我觉得挺好的。
[24:41.550,24:47.260,1]  就是要给一些S属性的人多一点跟N的人交流。
[24:49.380,24:50.110,1]  夸张吗？
[24:50.610,24:51.220,1]  就是。
[24:53.280,25:3.830,1]  没关系，就是有些人可能不是那么抽象，然后我，特别是我会有时候会遇到别人给我发一个很抽象的东西，我想用同样很抽象的方式回他，但我一下子想不起来。
[25:4.250,25:5.155,1]  怎么回呢？
[25:5.155,25:9.750,1]  那这个玩意儿能帮我生成很好的回答，那个我觉得挺好的。
[25:10.620,25:28.180,1]  哦，我也是因为之前会，嗯，就是我发朋友圈别人会评论我，然后我不知道我不然后就有甚至会网上搜索，就而且我冲浪会比别人慢很多，有时候别人给我发的时候，我不知道什么意思，我叫小公搜一下，我不知道他在讲啥，知道什么意思。
[25:30.770,25:44.430,1]  最好用微信翻译，它能够做一个抽象翻译，对类似这种，因为经常人人接收，我上问一个朋友，问他在不在，他发的一一，我不知道一一什么意思。
[25:45.690,25:49.600,1]  一一对他放的一一，就是他爱的意思。
[25:50.310,25:56.920,1]  哦111，哦哦，那我我知道我经常都给他对我12级成了老年人。
[26:20.570,26:21.150,0]  翻译。
[26:58.780,27:1.790,1]  你们有没有那种抽象表情包制作？
[27:3.380,27:11.370,1]  非常聪明，我非常喜欢，我有时候有时候至会去小红书下载图片，然后专门把它弄成那种表情包。
[27:12.810,27:17.200,1]  我觉得就会有一种平台，能够把这种抽象的素材整理起来。
[27:44.990,27:45.390,1]  OK.
[27:47.750,27:48.420,1]  还有什么？
[27:57.870,27:59.020,0]  那2点写上。
[28:1.200,28:2.350,0]  可以根据。
[28:11.740,28:13.040,0]  也可以更方便。
[28:27.850,28:28.730,0]  会怎么加的？
[28:30.240,28:30.760,1]  那个。
[28:40.460,28:41.040,0]  嗯，对。
[28:48.010,28:49.040,0]  一键翻译。
[28:51.020,28:51.420,0]  Oh.
[28:54.210,28:54.640,0]  这个。
[29:8.220,29:11.150,0]  根据施用车和车辆的啊。
[29:12.290,29:13.980,1]  女人删掉。
[29:20.870,29:21.895,0]  搭建平台。
[29:21.895,29:24.690,0]  这个抽象素材不是允许你。
[29:27.400,29:31.650,1]  可以把那个最后的一页改成4就可以。
[29:31.990,29:32.600,0]  工作。
[29:35.240,29:35.640,0]  OK.
[29:38.650,29:42.590,0]  我杀了去，我把那个的杀掉了。
[29:43.450,29:43.850,1]  我。
[29:47.980,29:48.660,1]  啊，他。

************************************end****************************************
