file: 海康_G61_无辅助_搭子.m4a
***********************************result**************************************

[0:0.000,0:6.600,0]  这里好到8:20结束了。你把时间。
[26:52.200,26:54.140,2]  重要的问题，对对。
[26:54.400,27:4.160,2]  但是首先你推广的时候，你因为你是要去抽取个人的一些兴趣爱好的，但是这个东西呢，会再往深里面做，很可能就会涉及到这种隐私方面的。
[27:4.160,27:8.020,2]  他有时候会很很容易受到一种模糊力感。
[27:8.560,27:11.400,2]  那我们现在去做一些。
[27:11.400,27:13.200,2]  平台开发的话。
[27:13.200,27:25.300,2]  他会涉及到一些客户，我们作品的个人的一个身份证啊，都会录到我后台里面，后台我确实想调，作为这个服务器的维护者来运维发展讲我确实会。
[27:25.780,27:28.920,2]  很容易去吸取这里面所有人的情形。
[27:32.880,27:41.740,2]  你像这种报出来就可能很容易去，就不敢去把那的一些什么东西去放到这个平台上。
[27:41.840,27:44.220,2]  就是我们做推广的时候应该。
[27:44.220,27:49.280,2]  去怎么来获取客户的一个先人，我们对他们的一些隐私的一些保护权啊。
[28:10.860,28:18.420,3]  那要不我们补充补充一下吧，就是像刚才说的那个兴趣爱好，我是建议可以。
[28:18.420,28:20.220,3]  可以读一些。
[28:21.120,28:24.200,3]  用一些标签来筛选。
[28:24.580,28:29.840,3]  就是直接打，也是一种性趣爱好之类的。
[28:29.920,28:33.900,3]  这样可以可以更好的方便用户匹配。
[28:34.440,28:38.300,3]  再有就是隐私，嗯，可以。
[28:38.900,28:41.200,3]  呃，比如说一些。
[28:41.200,28:42.880,3]  用户的。
[28:42.880,28:47.200,3]  个人信息那些住住址什么的可以。
[28:47.820,28:50.460,3]  可以加密保护，嗯。
[28:56.100,29:0.280,3]  匹配搭子关系的同时可以，嗯，可以。
[29:0.480,29:4.740,3]  可以清除一些一些我个人的信息。
[29:4.900,29:7.220,3]  就是降低压力。
[29:13.520,29:28.500,2]  第5个就是我想的就是你怎么去引流，就怎么你把这个东西开发出来，我在这在你这个软件上找到一些三搭之外，你如果没有更多的年限，他在你这个软件上用的话，或者平台上用的话。
[29:28.500,29:43.480,2]  就很可能就是我的他只是帮微信或者谁就引流了，一就你怎么我开了这个兴趣爱好之后，我还要去开发一个工厂，去一直去引导你们一直在这个软件上用，我们每天给你推荐。
[29:43.480,29:47.080,2]  推一些什么感兴趣的文章啊或者。
[29:48.140,29:51.440,2]  你可以去发表一些观点啊什么的。
[29:51.440,30:1.940,2]  或者推广一些活动，就在就是相当于一直每天你会时不时我想到我要跟这个半搭子，或者跟我这个通过这个平台做聊一些朋友。
[30:1.940,30:3.880,2]  去引导他。
[30:3.880,30:8.280,2]  推广一些，他就现在增加那个客户粘性嘛。
[30:10.820,30:13.700,2]  日组队做一些特色功能。
[30:13.700,30:15.440,2]  或者一些。
[30:15.560,30:24.440,2]  比方说你喜欢旅游的那个活动，旅游的一些通过旅游来引起的兴趣，你每天给他推一些，他们在他这个。
[30:25.140,30:30.480,2]  嗯，可接受范围内推广一些，你比方说去那边旅游。
[30:30.480,30:43.980,2]  更合适就基于你的个人的兴趣，那个旅游的一些爱好什么的，每天去发给他，就是一直这他吸引就通过就就跟现在那种抖音，就是你喜欢哪一点，我一直会给你推，这方面一直是去粘性他。
[30:43.980,30:48.810,0]  时间到了，你们汇总一下是以哪一份为准呢？
[30:48.810,30:49.980,3]  就是。

************************************end****************************************
