file: GoPro_Ga2_有辅助_抽象.m4a
***********************************result**************************************

[0:4.920,0:5.560,0]  没事。
[19:6.350,19:32.215,2]  嗯，我会以觉得共享可以，呃就可以自己跳，或者就是就类似于开关就可以对你现在比如说人家吐槽一个事，然他可能给你一个就AA生的一个幽默的解读方式，边吐槽啊怎么就放就要被放鸽放我鸽子啊，然后那那一身上那个有幽个默题的放式，就让我对这个事情的负面情绪就没有这么大。
[19:32.215,19:40.410,0]  就可以就笑一过了那个感觉有时间种言色问题，这个嗯我这边我这边刷新了一下好像。
[19:40.890,19:43.090,0]  然后我这边刷镜像没有那个界面。
[19:44.300,19:45.120,0]  就是这个。
[19:45.700,19:47.610,1]  就有这个面积是对。
[19:47.610,19:49.070,0]  就是没有那个面积块。
[19:51.880,19:52.460,0]  对对。
[19:54.120,19:56.290,0]  你刚刚我那边没同步到是。
[20:0.390,20:2.770,1]  应该也可以看到他们系列的内容。
[20:7.820,20:8.050,2]  嗯。
[20:9.150,20:9.550,1]  哎。
[20:9.930,20:10.330,0]  那。
[20:10.600,20:11.720,1]  没事，你们先，
[20:13.600,20:15.560,1]  你先让他们补充1。
[20:20.800,20:23.060,0]  你的页面能看到我写的是我的电脑。
[20:23.980,20:25.800,2]  我看着只有4点了啊。
[20:25.800,20:29.840,0]  那就是我刚刚没传不上去四四。
[20:36.320,20:45.480,0]  你们继续弄那个设计软件。
[21:11.160,21:12.700,2]  我觉得就像是那种。
[21:12.990,21:13.390,0]  呃。
[21:14.730,21:35.830,2]  抖音或者说是是这种就相当相于评论，然后现在抖音这能评论图片的，还有朋友圈也可以评论图片，就有时候有些都可以去评论一些抽象的表现，然后然后就是这也是一种社交嘛，然后也是可以用就那个平台，就成为大家就是发泄的一个一些发现压力的一个一个一个软件啊，我觉得。
[22:6.170,22:17.065,3]  我觉得他也可以对里面那些圈子进行一个分类，这样大家都知道就是玩的是什么跟就比如游戏圈和分享什么游戏。
[22:17.065,22:19.050,2]  然后就就是玩这个游戏特别的梗，
[22:20.690,22:22.950,2]  像就像那种这种你知道。
[22:24.480,22:26.530,0]  就是不同不同的音乐专业。
[22:27.210,22:29.110,0]  不知道对方说的是什么。
[22:29.460,22:29.980,2]  是的。
[25:28.930,25:30.240,1]  这要纯粹的补充。
[25:30.240,25:32.510,1]  关键应该是可以用提型的更。
[25:33.360,25:36.710,1]  给其他来的同事穿个写上口货，给点段子。
[25:37.900,25:38.690,0]  其实。
[26:34.050,26:36.400,0]  我们写点那个软件的。
[26:41.300,26:43.170,0]  就是谢谢你过了。
[26:45.250,26:46.550,0]  是那种难受。
[26:48.050,26:49.350,0]  不想吃个线了。
[26:51.440,26:53.280,0]  那德里域外年三十。
[26:57.000,27:3.500,0]  是CC采购定金的，但那个我已经写的，但他是CF，我显示他你也是没有显示。
[27:4.180,27:7.140,0]  那估计也是卡，那也卡。
[27:9.040,27:11.120,1]  哎，你你active一下。
[27:13.380,27:16.940,1]  你直在没有显示，那这里有点卡了。
[27:17.140,27:26.360,0]  应该是有，就是有显也是卡，我这边都卡了，都卡住了，你刚网卡了一下就断了网。
[27:28.960,27:36.870,1]  我是你，然后把你们现在的或者是截图发到群上，然后剩下的话你们可以在群里补充是是。
[30:21.490,30:26.990,1]  等一下先看我重启那个同步服务，看行不行，他们可以的话，那也不方便。
[30:42.250,30:45.080,1]  你们的观点都补充完整了，嗯。
[30:46.420,30:46.820,0]  我。
[31:11.710,31:13.640,1]  好可以，因为我重写的这个，
[31:14.980,31:19.970,1]  其实可以重新写这方画面，然后我们就汇总一下，我们就最后输出就好，
[31:21.310,31:25.700,1]  再再多给两三分钟，你们就看看还有没有相互补充。
[33:42.020,33:43.680,1]  大家是不是差不多了？

************************************end****************************************
